city,display_name,latitude,longitude,survey
Munich,"Munich, Germany",48.133333,11.566667,TRUE
Vienna,"Vienna, Austria",48.208176,16.373819,TRUE
Milan,"Milan, Italy",45.464203,9.189982,FALSE
Barcelona,"Barcelona, Spain",41.385063,2.173404,TRUE
New York City,"New York City, NY, USA",40.712776,-74.005974,TRUE
Lisbon,"Lisbon, Portugal",38.722252,-9.139337,FALSE
Berlin,"Berlin, Germany",52.520008,13.404954,TRUE
Amsterdam,"Amsterdam, Netherlands",52.370216,4.895168,TRUE
London,"London, England",51.507351,-0.127758,TRUE
Paris,"Paris, France",48.856613,2.352222,TRUE
Moscow,"Moscow, Russia",55.755825,37.617298,TRUE
Los Angeles,"Los Angeles, CA, USA",34.052235,-118.243683,TRUE
Rome,"Rome, Italy",41.902782,12.496365,TRUE
Prague,"Prague, Czech Republik",50.075539,14.4378,FALSE
Cairo,"Cairo, Egypt",30.04442,31.235712,FALSE
Florence,"Florence, Italy",43.769562,11.255814,FALSE
Sydney,"Sydney, Australia",-33.86882,151.20929,TRUE
Venice,"Venice, Italy",45.440845,12.315515,FALSE
Frankfurt,"Frankfurt, Germany",50.110924,8.682127,FALSE
Stockholm,"Stockholm, Sweden",59.329323,18.068581,TRUE
Dubai,"Dubai, United Arab Emirates",25.204849,55.270782,FALSE
Washington DC,"Washington DC, USA",38.907192,-77.036873,TRUE
Las Vegas,"Las Vegas, NV, USA",36.169941,-115.139832,TRUE
San Francisco,"San Francisco, CA, USA",37.774929,-122.419418,TRUE
Hong Kong,Hong Kong,22.396427,114.109497,TRUE
Bangkok,"Bangkok, Thailand",13.756331,100.501762,TRUE
Singapore,Singapore,1.352083,103.819839,TRUE
Toronto,"Toronto, ON, Canada",43.653225,-79.383186,FALSE
Athens,"Athens, Greece",37.98381,23.727539,FALSE
Seoul,"Seoul, South Korea",37.566536,126.977966,TRUE
Vancouver,"Vancouver, BC, Canada",49.28273,-123.120735,TRUE
Rio De Janeiro,"Rio De Janeiro, Brazil",-22.906847,-43.172897,TRUE
Montreal,"Montreal, QC, Canada",45.50169,-73.567253,FALSE
Dublin,"Dublin, Ireland",53.349804,-6.26031,FALSE
Budapest,"Budapest, Hungary",47.497913,19.040236,FALSE
Chicago,"Chicago, IL, USA",41.878113,-87.629799,TRUE
Miami,"Miami, FL, USA",25.761681,-80.191788,TRUE
Taipei,"Taipei, Taiwan",25.032969,121.565414,FALSE
Lima,"Lima, Peru",-12.046373,-77.042755,FALSE
Sofia,"Sofia, Bulgaria",42.697708,23.321867,FALSE
Orlando,"Orlando, FL, USA",28.538336,-81.379234,FALSE
Madrid,"Madrid, Spain",40.416775,-3.70379,TRUE
Warsaw,"Warsaw, Poland",52.232222,21.008333,FALSE
Delhi,"Delhi, India",28.6517178,77.2219388,FALSE
Mexico City,"Mexico City, Mexico",19.4326009,-99.1333416,TRUE
Marseille,"Marseille, France",43.2964,5.37,FALSE
Heidelberg,"Heidelberg, Germany",49.4093582,8.694724,FALSE
Quebec City,"Quebec City, QC, Canada",46.816667,-71.216667,FALSE
Boston,"Boston, MT, USA",42.3602534,-71.0582912,TRUE
Calgary,"Calgary, AL, Canada",51.02532675,-114.049868485806,FALSE
Quito,"Quito, Ecuador",-0.2201641,-78.5123274,FALSE
Nuremberg,"Nuremberg, Germany",49.453872,11.077298,FALSE
